               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027588,            0.011558,            0.011702,              0.9878,             0.99314,             0.99144,             0.68864,            0.016091,           0.0048173,          0.00081873,             0.00307,             0.00307,             0.00307
                  37,            0.026718,            0.011317,               0.011,             0.99258,             0.99595,               0.995,             0.69528,            0.015681,           0.0047584,          0.00085837,            0.002872,            0.002872,            0.002872
                  38,             0.02681,            0.011341,            0.010468,             0.99165,             0.99547,               0.995,             0.69058,            0.015869,           0.0047365,          0.00083284,            0.002674,            0.002674,            0.002674
                  39,            0.026924,            0.011271,            0.010251,             0.98854,             0.99222,             0.99125,             0.70376,             0.01528,           0.0046572,          0.00072669,            0.002476,            0.002476,            0.002476
                  40,             0.02653,             0.01156,           0.0091784,             0.99264,             0.99428,               0.995,             0.71012,            0.015003,             0.00463,          0.00070714,            0.002278,            0.002278,            0.002278
                  41,             0.02677,            0.011107,           0.0093279,             0.99244,             0.99837,               0.995,             0.70598,            0.014996,           0.0046116,          0.00061296,             0.00208,             0.00208,             0.00208
                  42,            0.026532,            0.011262,           0.0082908,               0.991,             0.99864,               0.995,             0.70012,            0.015391,           0.0046574,          0.00058264,            0.001882,            0.001882,            0.001882
                  43,            0.025143,            0.011022,           0.0086305,             0.98789,             0.99545,             0.99117,             0.70202,            0.015151,           0.0046352,          0.00056494,            0.001684,            0.001684,            0.001684
                  44,             0.02516,              0.0112,           0.0085275,             0.98822,             0.99423,             0.99138,             0.70999,            0.015063,           0.0046186,          0.00049681,            0.001486,            0.001486,            0.001486
                  45,            0.024673,            0.011038,           0.0074413,             0.98772,             0.99644,             0.99128,              0.7116,            0.014678,           0.0046256,          0.00043658,            0.001288,            0.001288,            0.001288
                  46,            0.024093,            0.010811,           0.0081657,             0.99243,             0.99903,               0.995,             0.71284,            0.014795,           0.0046268,          0.00040798,             0.00109,             0.00109,             0.00109
                  47,            0.023852,            0.011008,           0.0075699,             0.99296,             0.99828,               0.995,             0.71322,            0.014446,           0.0046072,          0.00038571,            0.000892,            0.000892,            0.000892
                  48,            0.023534,            0.010604,           0.0069394,             0.99277,             0.99897,               0.995,             0.71413,            0.014661,           0.0046376,           0.0003641,            0.000694,            0.000694,            0.000694
                  49,             0.02338,             0.01069,           0.0077769,             0.99204,             0.99801,               0.995,             0.71843,            0.014387,           0.0046156,          0.00034646,            0.000496,            0.000496,            0.000496
